Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Neto Borges,br BRA,DF,Clermont Foot,25,1996,33,33,2 833,31.mai,3,1,4,3,0,0,4,2,03.janv,03.janv,02.juil,05.août,69,100,189,0.10,0.03,0.13,0.10,0.13,0.10,0.09,0.19,0.10,0.18
Kenji-Van Boto,mg MAD,DF,Auxerre,26,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,2,10,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Kouamé Botué,bf BFA,FW MF,Ajaccio,19,2002,8,2,229,02.mai,0,0,0,0,0,0,0,0,01.févr,01.févr,0.1,01.mars,4,4,16,0.00,0.00,0.00,0.00,0.00,0.48,0.05,0.53,0.48,0.53
Badredine Bouanani,dz ALG,FW MF,Nice,17,2004,19,9,863,09.juin,0,4,4,0,0,0,0,0,01.juil,01.juil,03.mai,05.févr,47,31,98,0.00,0.42,0.42,0.00,0.42,0.18,0.36,0.54,0.18,0.54
Hicham Boudaoui,dz ALG,MF,Nice,22,1999,27,22,1 875,20.août,1,2,3,1,0,0,5,0,0.9,0.9,01.sept,02.août,39,110,55,0.05,0.10,0.14,0.05,0.14,0.04,0.09,0.14,0.04,0.14
Franci Bouebari,fr FRA,DF,Strasbourg,18,2003,2,0,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Sofiane Boufal,ma MAR,FW MF,Angers,28,1993,13,9,834,09.mars,4,3,7,2,2,2,3,1,03.juin,02.janv,02.sept,5.0,49,56,94,0.43,0.32,0.76,0.22,0.54,0.39,0.32,0.71,0.22,0.54
Ismaël Boura,km COM,DF FW,Lens,21,2000,9,0,93,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,6,6,11,0.00,0.00,0.00,0.00,0.00,0.06,0.20,0.26,0.06,0.26
Benjamin Bourigeaud,fr FRA,MF FW,Rennes,28,1994,37,37,3 065,34.1,7,10,17,5,2,2,6,1,08.juil,07.janv,11.juin,18.juil,40,264,250,0.21,0.29,0.50,0.15,0.44,0.26,0.34,0.60,0.21,0.55
Bilal Brahimi,dz ALG,FW MF,Nice,22,2000,26,5,800,08.sept,3,2,5,3,0,0,0,0,1.0,1.0,01.juil,02.août,41,16,100,0.34,0.23,0.56,0.34,0.56,0.12,0.19,0.31,0.12,0.31
Lilian Brassier,fr FRA,DF,Brest,22,1999,36,35,3 093,34.4,0,0,0,0,0,0,5,0,01.janv,01.janv,0.9,2.0,20,111,29,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06
Andreas Bruus,dk DEN,DF FW,Troyes,23,1999,27,18,1 628,18.janv,0,2,2,0,0,0,2,0,0.7,0.7,01.juil,02.avr,47,41,117,0.00,0.11,0.11,0.00,0.11,0.04,0.09,0.13,0.04,0.13
Joe Bryan,eng ENG,MF DF,Nice,28,1993,6,2,177,2.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.1,2,8,16,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04
Adam Buksa,pl POL,FW MF,Lens,26,1996,8,0,101,01.janv,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,9,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
Maxime Busi,be BEL,DF,Reims,22,1999,21,11,1 043,11.juin,0,1,1,0,0,0,4,0,0.1,0.1,0.7,0.8,25,57,44,0.00,0.09,0.09,0.00,0.09,0.01,0.06,0.07,0.01,0.07
Marcin Bułka,pl POL,GK,Nice,22,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rémy Cabella,fr FRA,MF FW,Lille,32,1990,32,28,2 525,28.janv,7,10,17,7,0,0,3,0,08.mars,08.mars,10.juil,19.0,113,230,242,0.25,0.36,0.61,0.25,0.61,0.30,0.38,0.68,0.30,0.68
Jimmy Cabot,fr FRA,DF MF,Lens,28,1994,11,5,511,05.juil,0,1,1,0,0,0,2,0,0.3,0.3,02.janv,02.avr,26,29,65,0.00,0.18,0.18,0.00,0.18,0.05,0.37,0.43,0.05,0.43
