Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Carlos Carmona,cl CHI,MF,Atalanta,29,1987,2,2,100,01.janv,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
Leandro Castán,br BRA,DF,Torino,29,1986,14,13,1177,13.janv,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Lucas Castro,ar ARG,MF,Chievo,27,1989,33,33,2759,30.juil,5,6,11,5,0,0,7,1,0.16,0.20,0.36,0.16,0.36
Danilo Cataldi,it ITA,MF,Genoa,21,1994,13,10,931,10.mars,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
Danilo Cataldi,it ITA,MF,Lazio,21,1994,11,5,662,07.avr,1,1,2,1,0,0,3,1,0.14,0.14,0.27,0.14,0.27
Federico Ceccherini,it ITA,DF,Crotone,24,1992,35,35,3097,34.4,1,0,1,1,0,0,9,0,0.03,0.00,0.03,0.03,0.03
Luca Ceppitelli,it ITA,DF,Cagliari,26,1989,19,19,1689,18.août,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
Alberto Cerri,it ITA,FW,Pescara,20,1996,13,7,697,07.juil,2,0,2,2,0,0,1,0,0.26,0.00,0.26,0.26,0.26
Boštjan Cesar,si SVN,DF,Chievo,34,1982,17,16,1436,16.0,1,0,1,1,0,0,10,1,0.06,0.00,0.06,0.06,0.06
Giorgio Chiellini,it ITA,DF,Juventus,31,1984,21,20,1636,18.févr,2,2,4,2,0,0,4,0,0.11,0.11,0.22,0.11,0.22
Federico Chiesa,it ITA,DF FW,Fiorentina,18,1997,27,17,1492,16.juin,3,2,5,3,0,0,5,1,0.18,0.12,0.30,0.18,0.30
Vlad Chiricheș,ro ROU,DF MF,Napoli,26,1989,14,13,1124,12.mai,2,0,2,2,0,0,0,0,0.16,0.00,0.16,0.16,0.16
Ivaylo Chochev,bg BUL,MF,Palermo,23,1993,30,25,2286,25.avr,3,3,6,3,0,0,4,0,0.12,0.12,0.24,0.12,0.24
Luca Cigarini,it ITA,MF,Sampdoria,30,1986,4,3,276,03.janv,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Thiago Cionek,pl POL,DF,Palermo,30,1986,29,26,2326,25.août,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00
Claiton,br BRA,DF,Crotone,31,1984,10,9,704,07.août,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Andrea Coda,it ITA,DF,Pescara,31,1985,13,12,999,11.janv,0,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00
Isaac Cofie,gh GHA,MF,Genoa,24,1991,15,11,1002,11.janv,0,1,1,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09
Roberto Colombo,it ITA,GK,Cagliari,40,1975,1,0,81,0.9,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00
Andrea Consigli,it ITA,GK,Sassuolo,29,1987,37,37,333,37.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Andrea Conti,it ITA,DF MF,Atalanta,22,1994,33,31,2663,29.juin,8,5,13,8,0,0,12,0,0.27,0.17,0.44,0.27,0.44
Alex Cordaz,it ITA,GK,Crotone,33,1983,36,36,3236,36.0,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
Uroš Ćosić,rs SRB,DF,Empoli,23,1992,14,8,961,10.juil,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Andrea Costa,it ITA,DF MF,Empoli,30,1986,26,25,2083,23.janv,2,1,3,2,0,0,6,0,0.09,0.04,0.13,0.09,0.13
Filippo Costa,it ITA,DF MF,Chievo,21,1995,1,0,50,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Angelo da Costa Júnior,br BRA,GK,Bologna,32,1983,18,17,1541,17.janv,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Mamadou Coulibaly,sn SEN,MF,Pescara,17,1999,9,6,486,05.avr,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Luca Crecco,it ITA,DF MF,Lazio,20,1995,3,0,56,0.6,1,0,1,1,0,0,0,0,janv.61,0.00,janv.61,janv.61,janv.61
Alessandro Crescenzi,it ITA,DF,Pescara,24,1991,21,14,1407,15.juin,0,1,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06
Lorenzo Crisetig,it ITA,MF,Crotone,23,1993,32,29,2538,28.févr,0,1,1,0,0,0,13,1,0.00,0.04,0.04,0.00,0.04
Bryan Cristante,it ITA,DF MF,Atalanta,21,1995,12,7,664,07.avr,3,2,5,3,0,0,1,0,0.41,0.27,0.68,0.41,0.68
Bryan Cristante,it ITA,DF MF,Pescara,21,1995,16,10,979,10.sept,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Sebastián Cristóforo,uy URU,MF,Fiorentina,22,1993,19,7,691,07.juil,0,2,2,0,0,0,1,0,0.00,0.26,0.26,0.00,0.26
Daniele Croce,it ITA,MF,Empoli,33,1982,35,32,2929,32.5,1,1,2,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06
Luca Crosta,it ITA,GK,Cagliari,18,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Juan Cuadrado,co COL,DF FW,Juventus,28,1988,30,21,2096,23.mars,2,6,8,2,0,0,8,0,0.09,0.26,0.34,0.09,0.34
Andrés Cubas,py PAR,MF,Pescara,20,1996,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Giuseppe Cuomo,it ITA,DF,Crotone,18,1998,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Patrick Cutrone,it ITA,FW,Milan,18,1998,1,0,6,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Marco D'Alessandro,it ITA,DF FW,Atalanta,25,1991,24,4,767,08.mai,1,1,2,1,0,0,2,0,0.12,0.12,0.23,0.12,0.23
Danilo D'Ambrosio,it ITA,DF,Inter,27,1988,32,32,2829,31.4,3,3,6,3,0,0,4,0,0.10,0.10,0.19,0.10,0.19
Dario Dainelli,it ITA,DF,Chievo,37,1979,26,25,2191,24.mars,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00
Felipe dal Belo,br BRA,DF,Udinese,32,1984,32,31,2813,31.mars,1,0,1,1,0,0,9,0,0.03,0.00,0.03,0.03,0.03
Pietro De Giorgio,it ITA,MF,Crotone,33,1983,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Sebastien De Maio,fr FRA,DF,Fiorentina,29,1987,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Rodrigo De Paul,ar ARG,FW MF,Udinese,22,1994,34,32,2337,26.0,4,1,5,4,0,0,7,1,0.15,0.04,0.19,0.15,0.19
Daniele De Rossi,it ITA,DF MF,Roma,33,1983,31,27,2341,26.0,4,4,8,2,2,2,9,0,0.15,0.15,0.31,0.08,0.23
Mattia De Sciglio,it ITA,DF MF,Milan,23,1992,25,23,2091,23.févr,0,2,2,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
