Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Ben Chilwell,eng ENG,DF,Leicester City,22,1996,27,27,2 373,26.avr,3,3,6,3,0,0,3,0,1.0,1.0,03.sept,04.sept,109,126,180,0.11,0.11,0.23,0.11,0.23,0.04,0.15,0.19,0.04,0.19
Tahith Chong,cw CUW,FW DF,Manchester Utd,19,1999,3,0,37,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,0,5,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13
Hamza Choudhury,bd BAN,MF,Leicester City,21,1997,20,10,893,09.sept,1,1,2,1,0,0,4,1,0.4,0.4,0.1,0.5,5,32,10,0.10,0.10,0.20,0.10,0.20,0.04,0.01,0.05,0.04,0.05
Andreas Christensen,dk DEN,DF,Chelsea,23,1996,21,21,1 751,19.mai,0,0,0,0,0,0,5,0,0.5,0.5,0.9,01.avr,17,75,1,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.07,0.03,0.07
Ciaran Clark,ie IRL,DF,Newcastle Utd,29,1989,14,14,1 186,13.févr,2,0,2,2,0,0,3,0,01.mars,01.mars,0.0,01.mars,2,16,2,0.15,0.00,0.15,0.15,0.15,0.10,0.00,0.10,0.10,0.10
Leon Clarke,eng ENG,FW MF,Sheffield Utd,34,1985,2,0,35,0.4,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0,0,2,0.00,0.00,0.00,0.00,0.00,janv.19,0.00,janv.19,janv.19,janv.19
Tom Cleverley,eng ENG,MF,Watford,29,1989,18,11,971,10.août,1,0,1,1,0,0,2,0,02.janv,02.janv,0.7,02.août,13,49,43,0.09,0.00,0.09,0.09,0.09,0.19,0.07,0.26,0.19,0.26
Conor Coady,eng ENG,DF,Wolves,26,1993,38,38,3 42,38.0,0,0,0,0,0,0,5,0,0.0,0.0,0.5,0.5,3,64,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Séamus Coleman,ie IRL,DF,Everton,30,1988,27,21,1 839,20.avr,0,1,1,0,0,0,5,1,0.9,0.9,01.juil,02.juil,49,77,93,0.00,0.05,0.05,0.00,0.05,0.05,0.08,0.13,0.05,0.13
Aaron Connolly,ie IRL,FW,Brighton,19,2000,24,14,1 258,14.0,3,1,4,3,0,0,0,0,4.0,4.0,0.5,04.mai,21,10,86,0.21,0.07,0.29,0.21,0.29,0.28,0.04,0.32,0.28,0.32
Lewis Cook,eng ENG,MF FW,Bournemouth,22,1997,27,14,1 352,15.0,0,0,0,0,0,0,5,0,0.3,0.3,0.5,0.8,18,80,31,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05
Steve Cook,eng ENG,DF,Bournemouth,28,1991,29,28,2 428,27.0,1,0,1,1,0,0,6,1,0.7,0.7,0.5,01.févr,7,73,5,0.04,0.00,0.04,0.04,0.04,0.03,0.02,0.04,0.03,0.04
Jack Cork,eng ENG,MF,Burnley,30,1989,30,30,2 613,29.0,0,0,0,0,0,0,1,0,2.0,2.0,01.janv,03.janv,13,67,31,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.11,0.07,0.11
Aaron Cresswell,eng ENG,DF,West Ham,29,1989,31,31,2 727,30.mars,3,0,3,3,0,0,7,0,01.avr,01.avr,03.févr,04.mai,43,166,97,0.10,0.00,0.10,0.10,0.10,0.05,0.11,0.15,0.05,0.15
Patrick Cutrone,it ITA,FW,Wolves,21,1998,12,3,297,03.mars,2,0,2,2,0,0,0,0,02.févr,02.févr,0.3,02.mai,5,1,20,0.61,0.00,0.61,0.61,0.61,0.68,0.08,0.76,0.68,0.76
Diogo Dalot,pt POR,DF MF,Manchester Utd,20,1999,4,1,67,0.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,3,7,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.39,0.39,0.39
Charlie Daniels,eng ENG,DF,Bournemouth,32,1986,2,2,126,01.avr,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
Arnaut Danjuma,nl NED,MF,Bournemouth,22,1997,14,6,630,7.0,0,0,0,0,0,0,0,0,01.févr,01.févr,0.2,01.avr,31,21,60,0.00,0.00,0.00,0.00,0.00,0.17,0.03,0.20,0.17,0.20
Scott Dann,eng ENG,DF,Crystal Palace,32,1987,16,14,1 266,14.janv,0,1,1,0,0,0,0,0,0.8,0.8,0.4,01.févr,1,28,2,0.00,0.07,0.07,0.00,0.07,0.06,0.03,0.09,0.06,0.09
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Kevin Danso,at AUT,DF,Southampton,20,1998,6,3,277,03.janv,0,1,1,0,0,0,2,1,0.1,0.1,0.2,0.3,6,12,4,0.00,0.32,0.32,0.00,0.32,0.02,0.08,0.10,0.02,0.10
Ben Davies,wls WAL,DF,Tottenham,26,1993,18,16,1 431,15.sept,0,0,0,0,0,0,6,0,0.2,0.2,0.9,01.janv,32,53,54,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.07,0.01,0.07
