Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Sam Clucas;eng ENG;MF;Hull City;25;1990;37;36;3 185;35.4;3;1;4;3;0;0;9;1;0.08;0.03;0.11;0.08;0.11
Nathaniel Clyne;eng ENG;DF;Liverpool;25;1991;37;37;3 323;36.9;0;2;2;0;0;0;0;0;0.00;0.05;0.05;0.00;0.05
Séamus Coleman;ie IRL;DF MF;Everton;27;1988;26;26;2 316;25.juil;4;3;7;4;0;0;3;0;0.16;0.12;0.27;0.16;0.27
James Collins;wls WAL;DF;West Ham;32;1983;22;19;1 655;18.avr;2;0;2;2;0;0;3;0;0.11;0.00;0.11;0.11;0.11
Lewis Cook;eng ENG;MF;Bournemouth;19;1997;6;4;432;04.août;0;1;1;0;0;0;1;0;0.00;0.21;0.21;0.00;0.21
Steve Cook;eng ENG;DF MF;Bournemouth;25;1991;38;38;3 42;38.0;2;0;2;2;0;0;5;0;0.05;0.00;0.05;0.05;0.05
Francis Coquelin;fr FRA;DF MF;Arsenal;25;1991;29;22;1 779;19.août;0;0;0;0;0;0;5;0;0.00;0.00;0.00;0.00;0.00
Jack Cork;eng ENG;DF MF;Swansea City;27;1989;30;25;2 232;24.août;0;0;0;0;0;0;7;0;0.00;0.00;0.00;0.00;0.00
Diego Costa;es ESP;FW;Chelsea;27;1988;35;35;3 082;34.2;20;7;27;20;0;1;10;0;0.58;0.20;0.79;0.58;0.79
Thibaut Courtois;be BEL;GK;Chelsea;24;1992;36;36;3 24;36.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00
Philippe Coutinho;br BRA;FW MF;Liverpool;24;1992;31;28;2 227;24.juil;13;8;21;13;0;0;2;0;0.53;0.32;0.85;0.53;0.85
Aaron Cresswell;eng ENG;DF MF;West Ham;26;1989;26;24;2 116;23.mai;0;2;2;0;0;0;4;2;0.00;0.09;0.09;0.00;0.09
Peter Crouch;eng ENG;FW;Stoke City;35;1981;27;13;1 343;14.sept;7;2;9;7;0;0;3;0;0.47;0.13;0.60;0.47;0.60
Charlie Daniels;eng ENG;DF MF;Bournemouth;29;1986;34;34;3 06;34.0;4;3;7;4;0;0;1;0;0.12;0.09;0.21;0.12;0.21
Scott Dann;eng ENG;DF;Crystal Palace;29;1987;23;19;1 746;19.avr;3;1;4;3;0;0;2;0;0.15;0.05;0.21;0.15;0.21
Matteo Darmian;it ITA;DF MF;Manchester Utd;26;1989;18;15;1 333;14.août;0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00
Ben Davies;wls WAL;DF MF;Tottenham;23;1993;23;18;1 739;19.mars;1;3;4;1;0;0;1;0;0.05;0.16;0.21;0.05;0.21
