Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Kingsley Coman,fr FRA,FW MF,Bayern Munich,24,1996,29,23,1 752,19.mai,5,10,15,5,0,0,1,0,04.févr,04.févr,06.avr,10.juin,103,76,268,0.26,0.51,0.77,0.26,0.77,0.21,0.33,0.55,0.21,0.55
Jhon Córdoba,co COL,FW,Hertha BSC,27,1993,21,17,1 537,17.janv,7,1,8,7,0,0,3,0,06.sept,06.sept,01.juin,08.mai,22,16,97,0.41,0.06,0.47,0.41,0.47,0.41,0.09,0.50,0.41,0.50
Sergio Córdova,ve VEN,FW MF,Arminia,22,1997,23,13,1 09,12.janv,2,1,3,2,0,0,0,0,03.mai,03.mai,0.9,04.avr,17,21,77,0.17,0.08,0.25,0.17,0.25,0.29,0.08,0.36,0.29,0.36
Danny da Costa,de GER,DF FW,Mainz 05,27,1993,16,15,1 208,13.avr,0,1,1,0,0,0,2,0,0.1,0.1,02.mars,02.mai,23,48,41,0.00,0.07,0.07,0.00,0.07,0.01,0.17,0.18,0.01,0.18
Danny da Costa,de GER,DF,Eint Frankfurt,27,1993,6,1,110,01.févr,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,4,5,7,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13
Douglas Costa,br BRA,FW MF,Bayern Munich,29,1990,11,3,320,03.juin,1,1,2,1,0,0,0,0,0.2,0.2,0.8,0.9,15,17,40,0.28,0.28,0.56,0.28,0.56,0.04,0.21,0.26,0.04,0.26
Tanguy Coulibaly,fr FRA,DF FW,Stuttgart,19,2001,31,17,1 506,16.juil,2,1,3,2,0,0,2,0,02.août,02.août,02.juin,05.avr,46,29,149,0.12,0.06,0.18,0.12,0.18,0.16,0.16,0.32,0.16,0.32
Mickaël Cuisance,fr FRA,FW,Bayern Munich,20,1999,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Matheus Cunha,br BRA,FW MF,Hertha BSC,21,1999,27,25,2 149,23.sept,7,4,11,5,2,3,9,0,08.avr,06.janv,04.mai,10.juin,91,85,137,0.29,0.17,0.46,0.21,0.38,0.35,0.19,0.54,0.25,0.44
Rafael Czichos,de GER,DF,Köln,30,1990,28,26,2 259,25.janv,1,0,1,1,0,0,7,0,01.août,01.août,0.1,01.sept,21,103,6,0.04,0.00,0.04,0.04,0.04,0.07,0.01,0.08,0.07,0.08
Moanes Dabbur,il ISR,FW MF,Hoffenheim,28,1992,22,11,999,11.janv,4,0,4,4,0,1,2,0,05.mars,04.mai,0.6,05.janv,20,35,80,0.36,0.00,0.36,0.36,0.36,0.48,0.05,0.53,0.41,0.46
Finn Dahmen,de GER,GK,Mainz 05,22,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mahmoud Dahoud,de GER,MF,Dortmund,24,1996,21,15,1 258,14.0,1,1,2,1,0,0,2,0,0.6,0.6,01.avr,2.0,21,93,30,0.07,0.07,0.14,0.07,0.14,0.04,0.10,0.14,0.04,0.14
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Leon Dajaku,de GER,FW,Union Berlin,19,2001,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tiago Dantas,pt POR,MF,Bayern Munich,19,2000,2,1,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15
Márton Dárdai,hu HUN,DF MF,Hertha BSC,18,2002,12,9,821,09.janv,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,10,41,1,0.00,0.11,0.11,0.00,0.11,0.01,0.03,0.04,0.01,0.04
