Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Marc Cardona,es ESP,FW DF,Osasuna,25,1995,3,0,53,0.6,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,2,5,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.40,0.40
Diego Carlos,br BRA,DF,Sevilla,27,1993,33,32,2 788,31.0,1,0,1,1,0,0,11,1,01.mars,01.mars,0.6,01.sept,5,53,2,0.03,0.00,0.03,0.03,0.03,0.04,0.02,0.06,0.04,0.06
Juan Carlos,es ESP,MF FW,Huesca,29,1991,15,3,291,03.févr,0,1,1,0,0,0,0,0,0.6,0.6,0.4,0.9,5,16,17,0.00,0.31,0.31,0.00,0.31,0.18,0.11,0.28,0.18,0.28
Yannick Carrasco,be BEL,DF MF,Atlético Madrid,26,1993,30,25,2 179,24.févr,6,10,16,6,0,0,6,0,05.févr,05.févr,6.0,11.févr,146,86,212,0.25,0.41,0.66,0.25,0.66,0.21,0.25,0.46,0.21,0.46
Sergio Carreira,es ESP,DF,Celta Vigo,19,2000,3,3,259,02.sept,1,0,1,1,0,0,0,0,0.8,0.8,0.1,0.9,0,6,14,0.35,0.00,0.35,0.35,0.35,0.27,0.04,0.31,0.27,0.31
Guido Carrillo,ar ARG,FW,Elche,29,1991,21,11,1 002,11.janv,3,2,5,3,0,0,3,0,02.mai,02.mai,01.janv,03.juin,9,31,30,0.27,0.18,0.45,0.27,0.45,0.22,0.10,0.32,0.22,0.32
Dani Carvajal,es ESP,DF,Real Madrid,28,1992,13,11,950,10.juin,0,2,2,0,0,0,5,0,0.5,0.5,0.8,01.févr,21,48,62,0.00,0.19,0.19,0.00,0.19,0.04,0.07,0.11,0.04,0.11
William Carvalho,pt POR,MF,Betis,28,1992,27,12,1 223,13.juin,2,0,2,2,0,0,6,1,01.févr,01.févr,0.7,01.sept,10,101,19,0.15,0.00,0.15,0.15,0.15,0.09,0.05,0.14,0.09,0.14
Casemiro,br BRA,MF,Real Madrid,28,1992,34,32,2 901,32.2,6,4,10,6,0,0,11,1,06.févr,06.févr,02.juil,08.août,20,135,45,0.19,0.12,0.31,0.19,0.31,0.19,0.08,0.27,0.19,0.27
Sofian Chakla,ma MAR,DF,Villarreal,26,1993,1,0,13,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.39,0.39,0.39
Sofian Chakla,ma MAR,DF,Getafe,26,1993,11,9,897,10.0,0,0,0,0,0,0,5,0,0.3,0.3,0.1,0.4,2,20,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
Chema,es ESP,DF MF,Getafe,28,1992,10,7,557,06.févr,0,0,0,0,0,0,3,1,0.1,0.1,0.2,0.3,2,17,0,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Denis Cheryshev,ru RUS,MF,Valencia,29,1990,21,13,1 101,12.févr,0,3,3,0,0,0,3,0,1.0,1.0,02.avr,03.avr,37,37,95,0.00,0.25,0.25,0.00,0.25,0.08,0.19,0.28,0.08,0.28
Samuel Chukwueze,ng NGA,MF FW,Villarreal,21,1999,28,13,1 365,15.févr,4,2,6,4,0,0,0,0,02.avr,02.avr,3.0,05.avr,84,53,177,0.26,0.13,0.40,0.26,0.40,0.16,0.20,0.36,0.16,0.36
Víctor Chust,es ESP,DF,Real Madrid,20,2000,2,1,95,01.janv,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cifu,es ESP,DF,Elche,29,1990,11,4,451,5.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,9,10,16,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Alberto Cifuentes,es ESP,GK,Cádiz,41,1979,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Jasper Cillessen,nl NED,GK,Valencia,31,1989,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
